open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1721511000000,3512.88000000,3514.70000000,3508.00000000,3511.92000000,315.45060000,1721511299999,1107955.27341500,2112,129.19990000,453822.57044800,0
1721511300000,3511.93000000,3513.84000000,3511.71000000,3513.41000000,139.18700000,1721511599999,488968.45523500,755,70.40280000,247329.09533600,0
1721511600000,3513.41000000,3516.58000000,3513.37000000,3515.91000000,177.05130000,1721511899999,622383.78511700,911,113.43310000,398732.22154700,0
1721511900000,3515.90000000,3517.59000000,3515.64000000,3517.59000000,126.29520000,1721512199999,444153.18485900,1101,42.23300000,148511.39349900,0
1721512200000,3517.58000000,3518.08000000,3514.78000000,3517.39000000,151.32940000,1721512499999,532169.50856000,893,48.11500000,169197.85634500,0
1721512500000,3517.39000000,3517.40000000,3515.09000000,3515.09000000,100.44550000,1721512799999,353148.03191500,791,20.46580000,71959.67868300,0
1721512800000,3515.09000000,3522.60000000,3515.00000000,3522.24000000,505.66880000,1721513099999,1779609.19007200,3607,334.70750000,1177919.09425100,0
1721513100000,3521.95000000,3522.40000000,3517.60000000,3521.60000000,299.02730000,1721513399999,1052681.10169000,2536,146.15960000,514481.88512200,0
1721513400000,3521.59000000,3522.78000000,3519.73000000,3519.74000000,154.82140000,1721513699999,545197.56625000,1210,59.86370000,210806.10019600,0
1721513700000,3519.74000000,3520.25000000,3516.35000000,3520.24000000,390.10760000,1721513999999,1372846.30774700,1404,268.49000000,944883.08915000,0
1721514000000,3520.25000000,3520.25000000,3518.00000000,3518.99000000,151.34850000,1721514299999,532685.19965100,991,51.49700000,181220.02670200,0
1721514300000,3518.99000000,3518.99000000,3514.42000000,3517.00000000,231.99080000,1721514599999,815781.63341700,1674,59.00680000,207479.71023100,0
1721514600000,3517.00000000,3519.20000000,3516.16000000,3517.56000000,126.95580000,1721514899999,446698.05897000,1184,75.71740000,266414.33230400,0
1721514900000,3517.56000000,3517.56000000,3513.77000000,3513.77000000,152.49440000,1721515199999,536003.44598200,1475,27.07440000,95168.74779900,0
1721515200000,3513.77000000,3513.78000000,3508.50000000,3508.51000000,479.79930000,1721515499999,1684448.37068100,2037,135.82090000,476806.86404800,0
1721515500000,3508.51000000,3512.00000000,3508.00000000,3511.57000000,580.22050000,1721515799999,2036532.75226600,2984,350.67220000,1230680.14970000,0
1721515800000,3511.57000000,3511.97000000,3508.73000000,3509.02000000,236.51030000,1721516099999,830227.71212600,1343,69.94060000,245467.51641600,0
1721516100000,3509.02000000,3515.63000000,3509.01000000,3514.20000000,315.89890000,1721516399999,1109647.83428800,1894,205.36570000,721194.96262400,0
1721516400000,3514.19000000,3515.55000000,3513.37000000,3515.00000000,122.08390000,1721516699999,429062.40984300,1272,75.65370000,265899.31571400,0
1721516700000,3514.99000000,3517.17000000,3514.37000000,3516.83000000,200.46340000,1721516999999,704725.25912500,1327,100.89970000,354725.82959300,0
1721517000000,3516.83000000,3518.33000000,3516.50000000,3517.76000000,203.02610000,1721517299999,714182.49052100,1036,95.64420000,336461.07581600,0
1721517300000,3517.76000000,3519.23000000,3515.46000000,3515.46000000,621.68480000,1721517599999,2187472.99723900,1456,292.22900000,1028293.13141100,0
1721517600000,3515.46000000,3518.31000000,3515.46000000,3517.16000000,221.71200000,1721517899999,779700.05427200,1353,132.87070000,467251.14490800,0
1721517900000,3517.15000000,3519.38000000,3516.40000000,3519.38000000,99.77970000,1721518199999,351049.71786100,602,49.22020000,173183.54430200,0
1721518200000,3519.38000000,3521.17000000,3519.38000000,3520.41000000,207.39710000,1721518499999,730073.56919700,1083,108.53070000,382028.51500600,0
1721518500000,3520.41000000,3521.21000000,3518.60000000,3519.20000000,251.21480000,1721518799999,884216.66795900,1242,57.68520000,203058.85758600,0
1721518800000,3519.21000000,3519.96000000,3518.80000000,3519.71000000,89.83240000,1721519099999,316149.53368100,690,34.88090000,122756.00167800,0
1721519100000,3519.72000000,3522.02000000,3519.71000000,3521.51000000,214.92180000,1721519399999,756810.18789000,1029,136.02150000,478961.96160000,0
1721519400000,3521.51000000,3521.89000000,3521.08000000,3521.08000000,65.58920000,1721519699999,230981.86399600,610,24.06930000,84762.02144500,0
